RecordTime,应用进程-main-29179(%),extra,SimpleTime
1669277685521,13.624679,,2.045
1669277686023,19.756098,,2.547
1669277686532,16.494844,,3.056
1669277687041,16.588785,,3.565
1669277687522,0.0,,4.046
1669277688038,0.0,,4.562
1669277688539,17.183771,,5.063
1669277689039,19.379845,,5.563
1669277689549,15.990454,,6.073
1669277690017,14.933332,,6.541
1669277690527,12.903225,,7.051
1669277691032,17.705736,,7.556
1669277691526,18.251928,,8.05
1669277692033,17.530865,,8.557
1669277692535,17.955112,,9.059
1669277693019,19.525066,,9.543
1669277693538,18.333334,,10.062
1669277694054,17.31266,,10.578
1669277694533,16.966581,,11.057
1669277695043,14.903847,,11.567
1669277695529,15.926893,,12.053
1669277696038,18.320612,,12.562
1669277696525,18.481012,,13.049
1669277697049,18.644068,,13.573
1669277697554,18.615753,,14.078
1669277698033,19.948187,,14.557
1669277698555,18.271606,,15.079
1669277699046,16.458853,,15.57
1669277699536,18.75,,16.06
1669277700021,14.138818,,16.545
1669277700517,13.866666,,17.041
1669277696038,18.320612,,12.562
1669277696525,18.481012,,13.049
1669277697049,18.644068,,13.573
1669277697554,18.615753,,14.078
1669277698033,19.948187,,14.557
1669277698555,18.271606,,15.079
1669277699046,16.458853,,15.57
1669277699536,18.75,,16.06
1669277700021,14.138818,,16.545
1669277700517,13.866666,,17.041
1669277701037,14.60396,,17.561
1669277701545,18.6398,,18.069
1669277702048,17.512691,,18.572
1669277702543,18.564358,,19.067
1669277703059,16.915422,,19.583
1669277703541,18.15857,,20.065
1669277704052,16.346153,,20.576
1669277704546,16.666668,,21.07
1669277705056,14.53202,,21.58
1669277705537,14.98708,,22.061
1669277706057,16.666668,,22.581
1669277706553,17.085426,,23.077
1669277707039,17.512691,,23.563
1669277707528,17.948719,,24.052
1669277708051,18.472906,,24.575
1669277708558,17.788462,,25.082
1669277709062,19.240505,,25.586
1669277709546,17.480719,,26.07
1669277710031,16.581633,,26.555
1669277710555,17.505997,,27.079
1669277711082,18.337408,,27.606
1669277711545,17.692308,,28.069
1669277712065,17.892157,,28.589
1669277712534,17.801048,,29.058
1669277713047,19.74359,,29.571
1669277713555,17.910448,,30.079
1669277714057,17.505997,,30.581
1669277714554,18.020306,,31.078
1669277715050,16.793894,,31.574
1669277715536,13.316584,,32.06
1669277716055,14.321608,,32.579
1669277716549,14.355232,,33.073
1669277717052,17.811705,,33.576
1669277717544,19.537275,,34.068
1669277718040,17.079206,,34.564
1669277718546,17.530865,,35.07
1669277719023,0.0,,35.547
1669277719561,0.0,,36.085
1669277720051,15.0617285,,36.575
1669277720564,14.797136,,37.088
1669277721047,14.516129,,37.571
1669277721586,0.0,,38.11
1669277722055,0.0,,38.579
1669277722562,18.2266,,39.086
1669277723053,16.879795,,39.577
1669277723576,17.966904,,40.1
1669277724049,19.783197,,40.573
1669277724579,18.13602,,41.103
1669277725059,15.949367,,41.583
1669277725562,13.551402,,42.086
1669277726051,14.583333,,42.575
1669277726561,17.241379,,43.085
1669277727075,18.978102,,43.599
1669277727573,19.37046,,44.097
1669277728082,18.586388,,44.606
1669277728570,17.25,,45.094
1669277729067,17.994858,,45.591
1669277729577,18.434343,,46.101
1669277730070,15.789473,,46.594
1669277730564,13.1979685,,47.088
1669277731067,13.994911,,47.591
1669277726561,17.241379,,43.085
1669277727075,18.978102,,43.599
1669277727573,19.37046,,44.097
1669277728082,18.586388,,44.606
1669277728570,17.25,,45.094
1669277729067,17.994858,,45.591
1669277729577,18.434343,,46.101
1669277730070,15.789473,,46.594
1669277730564,13.1979685,,47.088
1669277731067,13.994911,,47.591
1669277731560,13.77551,,48.084
1669277732081,18.292683,,48.605
1669277732569,18.205128,,49.093
1669277733062,17.705736,,49.586
1669277733567,17.085426,,50.091
1669277734060,19.0,,50.584
1669277734582,17.326733,,51.106
1669277735085,16.331657,,51.609
1669277735557,13.28125,,52.081
1669277736087,14.111922,,52.611
1669277736576,17.662338,,53.1
1669277737081,17.866005,,53.605
1669277737594,17.705736,,54.118
1669277738071,17.380352,,54.595
1669277738582,17.974684,,55.106
1669277739089,18.181818,,55.613
1669277739594,18.313253,,56.118
1669277740059,17.31266,,56.583
1669277740574,19.19192,,57.098
1669277741095,16.425121,,57.619
1669277741581,18.087854,,58.105
1669277742067,19.506172,,58.591
1669277742586,18.271606,,59.11
1669277743079,18.066158,,59.603
1669277743571,17.13555,,60.095
1669277744080,16.747574,,60.604
1669277744572,18.320612,,61.096
1669277745092,17.848412,,61.616
1669277745572,17.55319,,62.096
1669277746071,13.300492,,62.595
1669277746567,13.984169,,63.091
1669277747080,15.98063,,63.604
1669277747575,18.367348,,64.099
1669277748087,17.804878,,64.611
1669277748573,17.391304,,65.097
1669277749081,17.661692,,65.605
1669277749577,18.75,,66.101
1669277750082,16.908213,,66.606
1669277750590,17.783504,,67.114
1669277751097,14.215687,,67.621
1669277751583,14.698163,,68.107
1669277752086,16.009851,,68.61
1669277752578,18.481012,,69.102
1669277753075,17.268042,,69.599
1669277753587,19.174757,,70.111
1669277754090,17.72152,,70.614
1669277754596,18.377089,,71.12
1669277755096,18.52792,,71.62
1669277755576,16.112532,,72.1
1669277756071,14.285715,,72.595
1669277756577,15.328466,,73.101
1669277757095,17.336683,,73.619
1669277757580,17.085426,,74.104
1669277758084,16.82927,,74.608
1669277758598,17.073172,,75.122
1669277759115,17.661098,,75.639
1669277759588,16.839378,,76.112
1669277760095,17.215189,,76.619
1669277760580,15.3246765,,77.104
1669277761099,15.662651,,77.623
1669277761567,17.69437,,78.091
1669277762105,17.942583,,78.629
1669277762591,19.89664,,79.115
1669277763092,17.171717,,79.616
1669277763598,17.632849,,80.122
1669277764103,18.362282,,80.627
1669277764596,17.054264,,81.12
1669277765071,17.914438,,81.595
1669277765583,17.108435,,82.107
1669277766080,13.624679,,82.604
1669277766597,14.861462,,83.121
1669277767103,16.08911,,83.627
1669277767601,17.617867,,84.125
1669277768106,18.734179,,84.63
1669277768596,18.701298,,85.12
1669277769099,16.995073,,85.623
1669277769595,18.575064,,86.119
1669277770123,18.610422,,86.647
1669277770588,17.01031,,87.112
1669277771102,17.718447,,87.626
1669277771617,17.3028,,88.141
1669277772115,18.518518,,88.639
1669277772594,17.50663,,89.118
1669277773097,17.274939,,89.621
1669277773613,16.666668,,90.137
