RecordTime,Ö¡ÂÊ(Ö¡),extra,SimpleTime
1669199097351,58.0,sg.partying.android.lite,0.164
1669199098352,58.0,sg.partying.android.lite,1.165
1669199099352,58.0,sg.partying.android.lite,2.165
1669199100352,58.0,sg.partying.android.lite,3.165
1669199101353,58.0,sg.partying.android.lite,4.166
1669199102353,58.0,sg.partying.android.lite,5.166
1669199103359,58.0,sg.partying.android.lite,6.172
1669199104356,58.0,sg.partying.android.lite,7.169
1669199105357,58.0,sg.partying.android.lite,8.17
1669199106357,58.0,sg.partying.android.lite,9.17
1669199107359,58.0,sg.partying.android.lite,10.172
1669199108358,58.0,sg.partying.android.lite,11.171
1669199109359,58.0,sg.partying.android.lite,12.172
1669199110359,58.0,sg.partying.android.lite,13.172
1669199111360,58.0,sg.partying.android.lite,14.173
1669199112360,58.0,sg.partying.android.lite,15.173
1669199113360,58.0,sg.partying.android.lite,16.173
1669199114361,58.0,sg.partying.android.lite,17.174
1669199115361,58.0,sg.partying.android.lite,18.174
1669199116362,58.0,sg.partying.android.lite,19.175
1669199117362,58.0,sg.partying.android.lite,20.175
1669199118363,58.0,sg.partying.android.lite,21.176
1669199119363,58.0,sg.partying.android.lite,22.176
1669199120363,58.0,sg.partying.android.lite,23.176
1669199121364,58.0,sg.partying.android.lite,24.177
1669199122364,58.0,sg.partying.android.lite,25.177
1669199123364,58.0,sg.partying.android.lite,26.177
1669199124365,58.0,sg.partying.android.lite,27.178
1669199125365,58.0,sg.partying.android.lite,28.178
1669199126366,58.0,sg.partying.android.lite,29.179
1669199127367,58.0,sg.partying.android.lite,30.18
1669199128367,58.0,sg.partying.android.lite,31.18
1669199129369,58.0,sg.partying.android.lite,32.182
1669199130368,58.0,sg.partying.android.lite,33.181
1669199131368,58.0,sg.partying.android.lite,34.181
1669199132369,58.0,sg.partying.android.lite,35.182
1669199133369,58.0,sg.partying.android.lite,36.182
1669199134370,58.0,sg.partying.android.lite,37.183
1669199135371,58.0,sg.partying.android.lite,38.184
1669199136371,58.0,sg.partying.android.lite,39.184
1669199137371,58.0,sg.partying.android.lite,40.184
1669199138372,58.0,sg.partying.android.lite,41.185
1669199139372,58.0,sg.partying.android.lite,42.185
1669199140373,58.0,sg.partying.android.lite,43.186
1669199141373,58.0,sg.partying.android.lite,44.186
1669199142373,58.0,sg.partying.android.lite,45.186
1669199143374,58.0,sg.partying.android.lite,46.187
1669199144374,58.0,sg.partying.android.lite,47.187
1669199145375,58.0,sg.partying.android.lite,48.188
1669199146375,58.0,sg.partying.android.lite,49.188
1669199147376,58.0,sg.partying.android.lite,50.189
1669199148378,58.0,sg.partying.android.lite,51.191
1669199149378,58.0,sg.partying.android.lite,52.191
1669199150379,58.0,sg.partying.android.lite,53.192
1669199151379,58.0,sg.partying.android.lite,54.192
1669199152380,58.0,sg.partying.android.lite,55.193
1669199153380,58.0,sg.partying.android.lite,56.193
1669199154381,58.0,sg.partying.android.lite,57.194
1669199155381,58.0,sg.partying.android.lite,58.194
1669199156382,58.0,sg.partying.android.lite,59.195
1669199157382,58.0,sg.partying.android.lite,60.195
1669199158383,58.0,sg.partying.android.lite,61.196
1669199159383,58.0,sg.partying.android.lite,62.196
1669199160384,58.0,sg.partying.android.lite,63.197
1669199161384,58.0,sg.partying.android.lite,64.197
1669199162384,58.0,sg.partying.android.lite,65.197
1669199163385,58.0,sg.partying.android.lite,66.198
1669199164385,58.0,sg.partying.android.lite,67.198
1669199165387,58.0,sg.partying.android.lite,68.2
1669199166388,58.0,sg.partying.android.lite,69.201
1669199167388,58.0,sg.partying.android.lite,70.201
1669199168389,58.0,sg.partying.android.lite,71.202
1669199169389,58.0,sg.partying.android.lite,72.202
1669199170390,58.0,sg.partying.android.lite,73.203
1669199171391,58.0,sg.partying.android.lite,74.204
1669199172391,58.0,sg.partying.android.lite,75.204
1669199173392,58.0,sg.partying.android.lite,76.205
1669199174392,58.0,sg.partying.android.lite,77.205
1669199175392,58.0,sg.partying.android.lite,78.205
1669199176393,58.0,sg.partying.android.lite,79.206
1669199177393,58.0,sg.partying.android.lite,80.206
1669199178394,58.0,sg.partying.android.lite,81.207
1669199179394,58.0,sg.partying.android.lite,82.207
1669199180394,58.0,sg.partying.android.lite,83.207
