RecordTime,PSS-main-6006(MB),extra,SimpleTime
1669199097670,371.22852,,0.483
1669199098668,372.24805,,1.481
1669199099592,372.5869,,2.405
1669199100600,370.81055,,3.413
1669199101593,372.3545,,4.406
1669199102615,370.69727,,5.428
1669199103641,372.4707,,6.454
1669199104686,372.1416,,7.499
1669199105763,372.333,,8.576
1669199106618,372.6494,,9.431
1669199107726,372.7666,,10.539
1669199108645,372.8125,,11.458
1669199109660,373.00977,,12.473
1669199110825,373.5,,13.638
1669199111827,371.0078,,14.64
1669199112622,373.30078,,15.435
1669199113800,370.9922,,16.613
1669199114665,372.86328,,17.478
1669199115728,372.89844,,18.541
1669199117192,371.03613,,20.005
1669199118149,372.89844,,20.962
1669199119297,371.04004,,22.11
1669199120152,372.16016,,22.965
1669199121209,374.3828,,24.022
1669199122659,374.0918,,25.472
1669199123669,372.0664,,26.482
1669199124695,372.13672,,27.508
1669199125942,372.11816,,28.755
1669199126654,374.03516,,29.467
1669199127669,371.95703,,30.482
1669199128747,372.12598,,31.56
1669199135667,372.75,,38.48
1669199136850,374.27344,,39.663
1669199137810,372.26172,,40.623
1669199138711,372.20312,,41.524
1669199139739,374.49707,,42.552
1669199140785,372.22266,,43.598
1669199141770,374.1338,,44.583
1669199142774,374.12207,,45.587
1669199143872,372.25195,,46.685
1669199150685,373.80957,,53.498
1669199151672,375.58203,,54.485
1669199152722,373.64062,,55.535
1669199153695,373.66797,,56.508
1669199154735,373.7422,,57.548
1669199155768,375.5791,,58.581
1669199156725,374.37598,,59.538
1669199157730,374.05078,,60.543
1669199158664,376.2578,,61.477
1669199165731,374.0586,,68.544
1669199166726,373.73047,,69.539
1669199167863,374.02734,,70.676
1669199168699,375.60547,,71.512
1669199169779,373.74023,,72.592
1669199170754,375.68457,,73.567
1669199171742,373.8291,,74.555
1669199172746,373.80957,,75.559
1669199173805,373.7627,,76.618
1669199174906,373.75488,,77.719
1669199175762,373.79883,,78.575
1669199176710,376.08496,,79.523
1669199177715,375.6797,,80.528
1669199178609,373.8955,,81.422
1669199179858,375.85156,,82.671
1669199180673,375.64258,,83.486
1669199181727,373.73438,,84.54
1669199182726,375.64062,,85.539
1669199183727,375.6455,,86.54
1669199184966,375.64453,,87.779
1669199185818,373.80957,,88.631
1669199186866,374.41992,,89.679
1669199187785,374.0205,,90.598
1669199188786,373.98242,,91.599
1669199189868,375.9502,,92.681
1669199190796,374.0127,,93.609
1669199191708,375.91504,,94.521
1669199192694,375.95312,,95.507
1669199193820,376.0,,96.633
1669199195168,374.40234,,97.981
1669199196156,375.97363,,98.969
1669199197136,375.98047,,99.949
1669199198240,374.11523,,101.053
1669199199322,374.1797,,102.135
1669199200230,376.083,,103.043
1669199201255,374.43457,,104.068
1669199202326,394.90723,,105.139
1669199203368,428.86914,,106.181
1669199204248,381.51855,,107.061
1669199211297,381.3213,,114.11
1669199212665,383.4082,,115.478
1669199213727,381.8994,,116.54
1669199214791,381.65723,,117.604
1669199215687,383.64648,,118.5
1669199216786,383.61914,,119.599
1669199217677,383.33594,,120.49
1669199219219,383.57617,,122.032
1669199220330,383.29492,,123.143
1669199221291,383.54102,,124.104
1669199222177,383.5918,,124.99
1669199223270,383.95508,,126.083
1669199224248,383.62305,,127.061
1669199231332,383.8828,,134.145
1669199232289,384.2168,,135.102
1669199233226,382.03223,,136.039
1669199234274,383.92383,,137.087
1669199235243,383.88477,,138.056
1669199236210,383.86523,,139.023
1669199237313,383.9668,,140.126
1669199238304,384.04395,,141.117
1669199239316,382.20996,,142.129
1669199240426,382.14258,,143.239
1669199241214,384.10352,,144.027
1669199242766,384.2666,,145.579
1669199243654,384.24414,,146.467
1669199244788,384.20898,,147.601
1669199245766,382.33496,,148.579
1669199246758,382.49805,,149.571
1669199247827,382.43555,,150.64
1669199248875,384.34082,,151.688
1669199249823,382.6631,,152.636
1669199250806,384.8369,,153.619
1669199251846,382.5205,,154.659
1669199252762,382.58398,,155.575
1669199253731,382.5254,,156.544
1669199254868,382.5166,,157.681
1669199255791,382.57617,,158.604
1669199256820,382.5752,,159.633
1669199257834,384.5254,,160.647
1669199259227,384.48633,,162.04
1669199260298,382.98633,,163.111
1669199261305,382.64258,,164.118
1669199262292,384.54102,,165.105
1669199263292,384.55664,,166.105
1669199264277,384.55957,,167.09
1669199265232,384.56445,,168.045
1669199266217,382.2744,,169.03
1669199267243,384.56738,,170.056
1669199268314,382.86914,,171.127
1669199269472,385.1543,,172.285
1669199275905,382.98633,,178.718
1669199276794,385.05957,,179.607
1669199277816,384.93164,,180.629
1669199278764,383.43066,,181.577
1669199279943,383.15527,,182.756
1669199280817,384.99316,,183.63
1669199281772,383.09863,,184.585
1669199282818,383.06836,,185.631
1669199283951,384.9746,,186.764
1669199284870,383.07617,,187.683
1669199285800,383.08008,,188.613
1669199287351,385.12012,,190.164
1669199288314,383.57617,,191.127
1669199289837,385.21484,,192.65
1669199290875,383.22852,,193.688
1669199291768,385.15527,,194.581
1669199292786,385.19922,,195.599
1669199293765,383.28906,,196.578
1669199294855,383.25293,,197.668
1669199295794,383.2627,,198.607
1669199296756,383.69824,,199.569
1669199297782,383.32324,,200.595
1669199298828,385.26562,,201.641
1669199299941,383.6709,,202.754
1669199300815,405.7256,,203.628
1669199301804,434.69434,,204.617
1669199302905,386.46484,,205.718
1669199303879,386.36328,,206.692
1669199304890,386.39453,,207.703
1669199305863,384.63672,,208.676
1669199306830,386.98047,,209.643
1669199307815,386.63574,,210.628
1669199308823,386.59766,,211.636
1669199309935,384.7422,,212.748
1669199310802,386.58887,,213.615
1669199312310,386.9248,,215.123
1669199313368,385.0752,,216.181
1669199314387,386.97656,,217.2
1669199315359,387.2373,,218.172
1669199316278,386.99512,,219.091
1669199317345,384.9961,,220.158
1669199318284,386.82812,,221.097
1669199319305,385.06934,,222.118
1669199325816,386.75098,,228.629
1669199326790,382.89453,,229.603
1669199327892,382.67578,,230.705
1669199328794,382.6787,,231.607
1669199329823,381.9336,,232.636
1669199330800,381.82715,,233.613
1669199331856,383.71875,,234.669
1669199332820,383.74512,,235.633
1669199333751,383.76562,,236.564
1669199334925,382.19043,,237.738
1669199335827,381.86328,,238.64
1669199336777,381.8047,,239.59
1669199337891,383.77344,,240.704
1669199338909,381.89453,,241.722
1669199339723,383.90234,,242.536
1669199340880,383.85156,,243.693
1669199341791,383.91797,,244.604
1669199342814,381.95215,,245.627
1669199343774,384.15918,,246.587
1669199345173,383.85156,,247.986
1669199345906,383.8545,,248.719
1669199346837,383.82812,,249.65
1669199347851,382.00684,,250.664
1669199348845,383.85938,,251.658
1669199349992,383.8623,,252.805
1669199350815,383.88574,,253.628
1669199352316,384.31934,,255.129
1669199353420,382.0078,,256.233
1669199354293,382.35938,,257.106
1669199355382,384.57812,,258.195
1669199356348,384.3037,,259.161
1669199357815,382.44434,,260.628
1669199358872,384.2998,,261.685
1669199359852,382.4629,,262.665
1669199360839,384.33887,,263.652
1669199361877,384.6328,,264.69
1669199362842,384.31543,,265.655
1669199363812,384.27344,,266.625
1669199364997,382.3584,,267.81
1669199365820,384.2998,,268.633
1669199367374,382.51172,,270.187
1669199368427,382.5244,,271.24
1669199369536,382.74805,,272.349
1669199370276,382.70703,,273.089
1669199371445,384.83105,,274.258
1669199372364,382.45996,,275.177
1669199373425,382.58203,,276.238
1669199374293,382.48828,,277.106
1669199375262,382.4795,,278.075
1669199376323,384.32422,,279.136
1669199377264,384.375,,280.077
1669199378386,384.3955,,281.199
1669199379450,384.47363,,282.263
1669199380427,384.71094,,283.24
1669199381318,382.4453,,284.131
1669199382284,382.48828,,285.097
1669199383411,382.53906,,286.224
1669199384444,382.47168,,287.257
1669199385894,382.5664,,288.707
1669199387017,384.5078,,289.83
1669199387828,384.4912,,290.641
1669199388788,382.79688,,291.601
1669199389835,385.07715,,292.648
1669199390939,384.64844,,293.752
1669199391813,382.73828,,294.626
1669199393373,384.69922,,296.186
1669199394369,382.78516,,297.182
