RecordTime,CPUÎÂ¶È(¶È),extra,SimpleTime
1669277683939,45.7,null,0.463
1669277684440,44.9,null,0.964
1669277684940,46.5,null,1.464
1669277685441,46.1,null,1.965
1669277685941,44.2,null,2.465
1669277686441,43.8,null,2.965
1669277686942,44.6,null,3.466
1669277687442,44.2,null,3.966
1669277687942,44.2,null,4.466
1669277688442,43.8,null,4.966
1669277688942,43.8,null,5.466
1669277689444,44.9,null,5.968
1669277690443,46.9,null,6.967
1669277690943,45.3,null,7.467
1669277691444,44.2,null,7.968
1669277691944,44.6,null,8.468
1669277692447,43.8,null,8.971
1669277693445,43.0,null,9.969
1669277693945,42.6,null,10.469
1669277694446,44.9,null,10.97
1669277694947,46.1,null,11.471
1669277695448,46.5,null,11.972
1669277696447,42.6,null,12.971
1669277696947,43.4,null,13.471
1669277697449,41.8,null,13.973
1669277698449,42.2,null,14.973
1669277698949,42.2,null,15.473
1669277699449,42.6,null,15.973
1669277699952,44.6,null,16.476
1669277700453,45.7,null,16.977
1669277700953,44.2,null,17.477
1669277701453,43.8,null,17.977
1669277701953,43.8,null,18.477
1669277702454,43.8,null,18.978
1669277702955,43.0,null,19.479
1669277703455,43.8,null,19.979
1669277703955,43.0,null,20.479
1669277704458,43.8,null,20.982
1669277705455,44.9,null,21.979
1669277705957,44.2,null,22.481
1669277706958,43.4,null,23.482
1669277707458,44.2,null,23.982
1669277707959,43.8,null,24.483
1669277708459,42.6,null,24.983
1669277708959,43.4,null,25.483
1669277709459,43.4,null,25.983
1669277709959,44.2,null,26.483
1669277710460,43.4,null,26.984
1669277710960,42.6,null,27.484
1669277711460,43.4,null,27.984
1669277711962,43.4,null,28.486
1669277712462,42.6,null,28.986
1669277713461,43.0,null,29.985
1669277713961,42.2,null,30.485
1669277714461,43.0,null,30.985
1669277714961,43.8,null,31.485
1669277715462,45.3,null,31.986
1669277715962,45.7,null,32.486
1669277716463,44.6,null,32.987
1669277716964,43.8,null,33.488
1669277717963,43.8,null,34.487
1669277718463,43.4,null,34.987
1669277719473,45.3,null,35.997
1669277720470,44.2,null,36.994
1669277720971,45.7,null,37.495
1669277721471,44.9,null,37.995
1669277721971,43.4,null,38.495
1669277722471,43.8,null,38.995
1669277722973,43.4,null,39.497
1669277723473,43.0,null,39.997
1669277723974,42.6,null,40.498
1669277724474,43.4,null,40.998
1669277724975,43.8,null,41.499
1669277725476,44.9,null,42.0
1669277726475,44.9,null,42.999
1669277726976,42.6,null,43.5
1669277727476,43.8,null,44.0
1669277727980,43.8,null,44.504
1669277728977,43.8,null,45.501
1669277729478,43.0,null,46.002
1669277729980,43.8,null,46.504
1669277730979,45.7,null,47.503
1669277731479,44.9,null,48.003
1669277731981,43.0,null,48.505
1669277732980,42.6,null,49.504
1669277733480,43.0,null,50.004
1669277733981,43.8,null,50.505
1669277734481,43.0,null,51.005
1669277734987,44.6,null,51.511
1669277735982,45.7,null,52.506
1669277736482,44.9,null,53.006
1669277736983,44.2,null,53.507
1669277737483,44.2,null,54.007
1669277737985,44.2,null,54.509
1669277738485,44.2,null,55.009
1669277739484,43.4,null,56.008
1669277739984,44.2,null,56.508
1669277740485,43.4,null,57.009
1669277740985,43.4,null,57.509
1669277741486,43.4,null,58.01
1669277741986,43.4,null,58.51
