RecordTime,PrivateDirty-main-29179(MB),extra,SimpleTime
1669277684691,579.15625,,1.215
1669277685695,580.2461,,2.219
1669277686750,581.5156,,3.274
1669277687744,582.1406,,4.268
1669277688744,585.14844,,5.268
1669277689678,588.1758,,6.202
1669277690766,591.2422,,7.29
1669277691725,593.5508,,8.249
1669277692762,597.5742,,9.286
1669277694273,603.66797,,10.797
1669277684691,579.15625,,1.215
1669277685695,580.2461,,2.219
1669277686750,581.5156,,3.274
1669277687744,582.1406,,4.268
1669277688744,585.14844,,5.268
1669277689678,588.1758,,6.202
1669277690766,591.2422,,7.29
1669277691725,593.5508,,8.249
1669277692762,597.5742,,9.286
1669277694273,603.66797,,10.797
1669280718230,784.5117,,3034.754
