RecordTime,全局占用(%),extra,SimpleTime
1669277684014,52.38095,,0.538
1669277684507,51.870323,,1.031
1669277685026,59.761906,,1.55
1669277685521,52.9563,,2.045
1669277686023,50.243904,,2.547
1669277686532,47.42268,,3.056
1669277687041,51.168224,,3.565
1669277687522,46.05263,,4.046
1669277688038,51.262627,,4.562
1669277688539,48.68735,,5.063
1669277689039,50.904392,,5.563
1669277689549,52.505966,,6.073
1669277690017,57.866665,,6.541
1669277690527,57.3201,,7.051
1669277691032,49.127182,,7.556
1669277691525,44.473007,,8.049
1669277692033,50.864197,,8.557
1669277692535,46.882793,,9.059
1669277693019,49.60422,,9.543
1669277693538,49.285713,,10.062
1669277694054,49.612404,,10.578
1669277694533,52.442158,,11.057
1669277695043,54.326923,,11.567
1669277695529,55.61358,,12.053
1669277696038,45.547073,,12.562
1669277696525,45.822784,,13.049
1669277697049,46.00484,,13.573
1669277697554,46.77804,,14.078
1669277698033,45.33679,,14.557
1669277698555,46.17284,,15.079
1669277699046,48.37905,,15.57
1669277699536,48.958332,,16.06
1669277700021,51.92802,,16.545
1669277700517,54.666668,,17.041
1669277701037,53.465347,,17.561
1669277701545,46.599495,,18.069
1669277702048,48.22335,,18.572
1669277702543,49.0099,,19.067
1669277703059,46.76617,,19.583
1669277703541,48.59335,,20.065
1669277704052,50.0,,20.576
1669277704546,50.74627,,21.07
1669277705056,52.70936,,21.58
1669277705537,53.74677,,22.061
1669277706057,50.0,,22.581
1669277706553,47.48744,,23.077
1669277707039,47.46193,,23.563
1669277707528,48.205128,,24.052
1669277708051,48.275864,,24.575
1669277708558,48.317307,,25.082
1669277709062,47.848103,,25.586
1669277709546,48.07198,,26.07
1669277710031,52.295918,,26.555
1669277710555,49.40048,,27.079
1669277711082,46.21027,,27.606
1669277711545,49.23077,,28.069
1669277712065,48.77451,,28.589
1669277712534,47.12042,,29.058
1669277713047,48.46154,,29.571
1669277713555,47.512436,,30.079
1669277714057,47.242207,,30.581
1669277714554,47.715736,,31.078
1669277715050,51.653946,,31.574
1669277715536,53.015076,,32.06
1669277716055,53.768845,,32.579
1669277716549,51.3382,,33.073
1669277717052,48.091602,,33.576
1669277717544,44.473007,,34.068
1669277718040,47.524754,,34.564
1669277718546,49.382717,,35.07
1669277719023,53.71287,,35.547
1669277719561,70.85427,,36.085
1669277720051,51.60494,,36.575
1669277720564,54.415276,,37.088
1669277721047,53.225807,,37.571
1669277721586,50.243904,,38.11
1669277722055,47.80362,,38.579
1669277722562,48.029556,,39.086
1669277723053,48.849106,,39.577
1669277723576,49.64539,,40.1
1669277724049,46.07046,,40.573
1669277724579,47.355164,,41.103
1669277725059,53.670887,,41.583
1669277725562,56.30841,,42.086
1669277726051,53.385418,,42.575
1669277726561,51.970444,,43.085
1669277727075,46.958637,,43.599
1669277727573,50.605328,,44.097
1669277728082,48.167538,,44.606
1669277728570,48.0,,45.094
1669277729067,48.84319,,45.591
1669277729577,47.474747,,46.101
1669277730070,53.634087,,46.594
1669277730564,55.837563,,47.088
1669277731067,56.234097,,47.591
1669277731560,54.84694,,48.084
1669277732081,49.512196,,48.605
1669277732569,48.205128,,49.093
1669277733062,48.37905,,49.586
1669277733567,46.984924,,50.091
1669277734060,48.75,,50.584
1669277734582,49.50495,,51.106
1669277735085,53.768845,,51.609
1669277735557,54.947918,,52.081
1669277736087,60.583942,,52.611
1669277736576,48.57143,,53.1
1669277737081,51.116627,,53.605
1669277737594,48.37905,,54.118
1669277738071,48.61461,,54.595
1669277738582,48.101265,,55.106
1669277739088,48.232323,,55.612
1669277739594,51.325302,,56.118
1669277740059,53.229973,,56.583
1669277740574,46.464645,,57.098
