RecordTime,ÑÓ³Ù´ÎÊý(´Î),extra,SimpleTime
1669277684441,0.0,sg.partying.android.lite,0.965
1669277685441,0.0,sg.partying.android.lite,1.965
1669277686442,3.0,sg.partying.android.lite,2.966
1669277687442,0.0,sg.partying.android.lite,3.966
1669277688442,0.0,sg.partying.android.lite,4.966
1669277689443,2.0,sg.partying.android.lite,5.967
1669277690443,1.0,sg.partying.android.lite,6.967
1669277691445,0.0,sg.partying.android.lite,7.969
1669277692449,1.0,sg.partying.android.lite,8.973
1669277693451,0.0,sg.partying.android.lite,9.975
1669277694446,0.0,sg.partying.android.lite,10.97
1669277695446,0.0,sg.partying.android.lite,11.97
1669277696447,0.0,sg.partying.android.lite,12.971
1669277697449,0.0,sg.partying.android.lite,13.973
1669277698449,0.0,sg.partying.android.lite,14.973
1669277699449,0.0,sg.partying.android.lite,15.973
1669277700453,0.0,sg.partying.android.lite,16.977
1669277701455,0.0,sg.partying.android.lite,17.979
1669277702454,2.0,sg.partying.android.lite,18.978
1669277703455,1.0,sg.partying.android.lite,19.979
1669277704455,1.0,sg.partying.android.lite,20.979
1669277705456,0.0,sg.partying.android.lite,21.98
1669277706458,0.0,sg.partying.android.lite,22.982
1669277707460,0.0,sg.partying.android.lite,23.984
1669277708459,2.0,sg.partying.android.lite,24.983
1669277709459,1.0,sg.partying.android.lite,25.983
1669277710460,0.0,sg.partying.android.lite,26.984
1669277711460,0.0,sg.partying.android.lite,27.984
1669277712462,1.0,sg.partying.android.lite,28.986
1669277713461,1.0,sg.partying.android.lite,29.985
1669277714461,1.0,sg.partying.android.lite,30.985
1669277715462,0.0,sg.partying.android.lite,31.986
1669277716463,0.0,sg.partying.android.lite,32.987
1669277717464,1.0,sg.partying.android.lite,33.988
1669277718463,0.0,sg.partying.android.lite,34.987
1669277719473,0.0,sg.partying.android.lite,35.997
1669277720472,0.0,sg.partying.android.lite,36.996
1669277721471,0.0,sg.partying.android.lite,37.995
1669277722471,0.0,sg.partying.android.lite,38.995
1669277723473,2.0,sg.partying.android.lite,39.997
1669277724474,2.0,sg.partying.android.lite,40.998
1669277725478,1.0,sg.partying.android.lite,42.002
1669277726477,1.0,sg.partying.android.lite,43.001
1669277727477,0.0,sg.partying.android.lite,44.001
1669277728477,1.0,sg.partying.android.lite,45.001
1669277729478,0.0,sg.partying.android.lite,46.002
1669277730478,0.0,sg.partying.android.lite,47.002
1669277731479,0.0,sg.partying.android.lite,48.003
1669277732479,0.0,sg.partying.android.lite,49.003
1669277733480,0.0,sg.partying.android.lite,50.004
1669277734481,1.0,sg.partying.android.lite,51.005
1669277735482,1.0,sg.partying.android.lite,52.006
1669277736483,0.0,sg.partying.android.lite,53.007
1669277737483,0.0,sg.partying.android.lite,54.007
1669277738485,0.0,sg.partying.android.lite,55.009
1669277739485,0.0,sg.partying.android.lite,56.009
1669277740485,0.0,sg.partying.android.lite,57.009
1669277741486,0.0,sg.partying.android.lite,58.01
1669277742487,0.0,sg.partying.android.lite,59.011
1669277743487,1.0,sg.partying.android.lite,60.011
1669277744488,0.0,sg.partying.android.lite,61.012
1669277745491,0.0,sg.partying.android.lite,62.015
1669277746489,1.0,sg.partying.android.lite,63.013
1669277747492,0.0,sg.partying.android.lite,64.016
1669277748492,0.0,sg.partying.android.lite,65.016
1669277749490,1.0,sg.partying.android.lite,66.014
1669277750493,0.0,sg.partying.android.lite,67.017
1669277751493,2.0,sg.partying.android.lite,68.017
1669277752494,1.0,sg.partying.android.lite,69.018
1669277753495,0.0,sg.partying.android.lite,70.019
1669277754495,0.0,sg.partying.android.lite,71.019
1669277755495,0.0,sg.partying.android.lite,72.019
1669277756498,0.0,sg.partying.android.lite,73.022
1669277757497,3.0,sg.partying.android.lite,74.021
1669277758497,1.0,sg.partying.android.lite,75.021
1669277759498,0.0,sg.partying.android.lite,76.022
1669277760498,0.0,sg.partying.android.lite,77.022
1669277761499,0.0,sg.partying.android.lite,78.023
1669277762507,0.0,sg.partying.android.lite,79.031
1669277763500,0.0,sg.partying.android.lite,80.024
1669277764501,0.0,sg.partying.android.lite,81.025
1669277765501,0.0,sg.partying.android.lite,82.025
1669277766502,1.0,sg.partying.android.lite,83.026
1669277767503,0.0,sg.partying.android.lite,84.027
1669277768505,0.0,sg.partying.android.lite,85.029
1669277769506,0.0,sg.partying.android.lite,86.03
1669277770508,0.0,sg.partying.android.lite,87.032
1669277771507,0.0,sg.partying.android.lite,88.031
1669277772508,0.0,sg.partying.android.lite,89.032
1669277773514,3.0,sg.partying.android.lite,90.038
1669277774513,4.0,sg.partying.android.lite,91.037
1669277775513,4.0,sg.partying.android.lite,92.037
1669277776514,0.0,sg.partying.android.lite,93.038
1669277777517,0.0,sg.partying.android.lite,94.041
1669277778517,0.0,sg.partying.android.lite,95.041
1669277779518,4.0,sg.partying.android.lite,96.042
1669277780519,0.0,sg.partying.android.lite,97.043
1669277781521,0.0,sg.partying.android.lite,98.045
1669277782523,0.0,sg.partying.android.lite,99.047
1669277783524,0.0,sg.partying.android.lite,100.048
1669277784525,0.0,sg.partying.android.lite,101.049
1669277785524,0.0,sg.partying.android.lite,102.048
1669277786525,0.0,sg.partying.android.lite,103.049
1669277787525,0.0,sg.partying.android.lite,104.049
1669277788527,1.0,sg.partying.android.lite,105.051
1669277789527,1.0,sg.partying.android.lite,106.051
1669277790528,1.0,sg.partying.android.lite,107.052
1669277791528,1.0,sg.partying.android.lite,108.052
1669277792533,0.0,sg.partying.android.lite,109.057
1669277793534,0.0,sg.partying.android.lite,110.058
1669277794534,3.0,sg.partying.android.lite,111.058
1669277795534,1.0,sg.partying.android.lite,112.058
1669277796535,3.0,sg.partying.android.lite,113.059
1669277797536,0.0,sg.partying.android.lite,114.06
1669277798536,0.0,sg.partying.android.lite,115.06
1669277799542,0.0,sg.partying.android.lite,116.066
1669277800541,1.0,sg.partying.android.lite,117.065
1669277801542,0.0,sg.partying.android.lite,118.066
1669277802542,0.0,sg.partying.android.lite,119.066
1669277803543,0.0,sg.partying.android.lite,120.067
1669277804543,0.0,sg.partying.android.lite,121.067
1669277805546,2.0,sg.partying.android.lite,122.07
1669277806545,2.0,sg.partying.android.lite,123.069
1669277807546,0.0,sg.partying.android.lite,124.07
1669277808546,0.0,sg.partying.android.lite,125.07
1669277809551,0.0,sg.partying.android.lite,126.075
1669277810548,0.0,sg.partying.android.lite,127.072
1669277811548,0.0,sg.partying.android.lite,128.072
1669277812548,1.0,sg.partying.android.lite,129.072
1669277813549,0.0,sg.partying.android.lite,130.073
1669277814550,1.0,sg.partying.android.lite,131.074
1669277815554,0.0,sg.partying.android.lite,132.078
1669277816557,2.0,sg.partying.android.lite,133.081
1669277817557,6.0,sg.partying.android.lite,134.081
1669277818558,1.0,sg.partying.android.lite,135.082
1669277819558,0.0,sg.partying.android.lite,136.082
1669277820558,0.0,sg.partying.android.lite,137.082
1669277821561,0.0,sg.partying.android.lite,138.085
1669277822562,1.0,sg.partying.android.lite,139.086
1669277823563,4.0,sg.partying.android.lite,140.087
1669277824564,0.0,sg.partying.android.lite,141.088
1669277825565,0.0,sg.partying.android.lite,142.089
1669277826566,1.0,sg.partying.android.lite,143.09
1669277827569,1.0,sg.partying.android.lite,144.093
1669277828575,0.0,sg.partying.android.lite,145.099
1669277829572,0.0,sg.partying.android.lite,146.096
1669277830572,2.0,sg.partying.android.lite,147.096
1669277831573,2.0,sg.partying.android.lite,148.097
1669277832573,0.0,sg.partying.android.lite,149.097
1669277833576,0.0,sg.partying.android.lite,150.1
1669277834575,0.0,sg.partying.android.lite,151.099
1669277835577,0.0,sg.partying.android.lite,152.101
1669277836576,0.0,sg.partying.android.lite,153.1
1669277837577,2.0,sg.partying.android.lite,154.101
1669277838578,1.0,sg.partying.android.lite,155.102
1669277839578,0.0,sg.partying.android.lite,156.102
1669277840582,1.0,sg.partying.android.lite,157.106
1669277841582,0.0,sg.partying.android.lite,158.106
1669277842582,0.0,sg.partying.android.lite,159.106
1669277843582,1.0,sg.partying.android.lite,160.106
1669277844583,0.0,sg.partying.android.lite,161.107
1669277845583,0.0,sg.partying.android.lite,162.107
1669277846589,0.0,sg.partying.android.lite,163.113
1669277847589,1.0,sg.partying.android.lite,164.113
1669277848590,0.0,sg.partying.android.lite,165.114
1669277849590,0.0,sg.partying.android.lite,166.114
1669277850594,0.0,sg.partying.android.lite,167.118
1669277851601,0.0,sg.partying.android.lite,168.125
1669277852595,0.0,sg.partying.android.lite,169.119
1669277853597,2.0,sg.partying.android.lite,170.121
1669277854597,0.0,sg.partying.android.lite,171.121
1669277855598,0.0,sg.partying.android.lite,172.122
1669277856601,3.0,sg.partying.android.lite,173.125
1669277857601,2.0,sg.partying.android.lite,174.125
1669277858602,0.0,sg.partying.android.lite,175.126
1669277859603,0.0,sg.partying.android.lite,176.127
1669277860603,0.0,sg.partying.android.lite,177.127
1669277861605,0.0,sg.partying.android.lite,178.129
1669277862605,0.0,sg.partying.android.lite,179.129
1669277863605,2.0,sg.partying.android.lite,180.129
1669277864605,0.0,sg.partying.android.lite,181.129
1669277865610,1.0,sg.partying.android.lite,182.134
1669277866609,0.0,sg.partying.android.lite,183.133
1669277867609,1.0,sg.partying.android.lite,184.133
1669277868610,0.0,sg.partying.android.lite,185.134
1669277869610,1.0,sg.partying.android.lite,186.134
1669277870610,2.0,sg.partying.android.lite,187.134
1669277871613,0.0,sg.partying.android.lite,188.137
1669277872613,0.0,sg.partying.android.lite,189.137
1669277873615,0.0,sg.partying.android.lite,190.139
1669277874617,0.0,sg.partying.android.lite,191.141
1669277875617,0.0,sg.partying.android.lite,192.141
1669277876618,0.0,sg.partying.android.lite,193.142
1669277877619,0.0,sg.partying.android.lite,194.143
1669277878621,0.0,sg.partying.android.lite,195.145
1669277879622,0.0,sg.partying.android.lite,196.146
1669277880624,1.0,sg.partying.android.lite,197.148
1669277881622,1.0,sg.partying.android.lite,198.146
1669277882623,0.0,sg.partying.android.lite,199.147
1669277883623,1.0,sg.partying.android.lite,200.147
1669277884624,1.0,sg.partying.android.lite,201.148
1669277885625,1.0,sg.partying.android.lite,202.149
1669277886626,1.0,sg.partying.android.lite,203.15
1669277887628,2.0,sg.partying.android.lite,204.152
1669277888633,0.0,sg.partying.android.lite,205.157
1669277889628,0.0,sg.partying.android.lite,206.152
1669277890629,0.0,sg.partying.android.lite,207.153
1669277891637,0.0,sg.partying.android.lite,208.161
1669277892637,0.0,sg.partying.android.lite,209.161
1669277893637,0.0,sg.partying.android.lite,210.161
1669277894638,0.0,sg.partying.android.lite,211.162
1669277895643,0.0,sg.partying.android.lite,212.167
1669277896639,0.0,sg.partying.android.lite,213.163
1669277897639,0.0,sg.partying.android.lite,214.163
1669277898639,0.0,sg.partying.android.lite,215.163
1669277899645,0.0,sg.partying.android.lite,216.169
1669277900641,0.0,sg.partying.android.lite,217.165
1669277901641,0.0,sg.partying.android.lite,218.165
1669277902642,0.0,sg.partying.android.lite,219.166
1669277903645,0.0,sg.partying.android.lite,220.169
1669277904645,0.0,sg.partying.android.lite,221.169
1669277905646,0.0,sg.partying.android.lite,222.17
1669277906649,0.0,sg.partying.android.lite,223.173
1669277907647,0.0,sg.partying.android.lite,224.171
1669277908648,0.0,sg.partying.android.lite,225.172
1669277909649,0.0,sg.partying.android.lite,226.173
1669277910649,0.0,sg.partying.android.lite,227.173
1669277911650,0.0,sg.partying.android.lite,228.174
1669277912656,1.0,sg.partying.android.lite,229.18
1669277913655,0.0,sg.partying.android.lite,230.179
1669277914656,1.0,sg.partying.android.lite,231.18
1669277915658,0.0,sg.partying.android.lite,232.182
1669277916658,0.0,sg.partying.android.lite,233.182
1669277917661,0.0,sg.partying.android.lite,234.185
1669277918663,0.0,sg.partying.android.lite,235.187
1669277919666,0.0,sg.partying.android.lite,236.19
1669277920665,0.0,sg.partying.android.lite,237.189
1669277921668,0.0,sg.partying.android.lite,238.192
1669277922669,1.0,sg.partying.android.lite,239.193
1669277923675,0.0,sg.partying.android.lite,240.199
1669277924675,1.0,sg.partying.android.lite,241.199
1669277925676,0.0,sg.partying.android.lite,242.2
1669277926676,0.0,sg.partying.android.lite,243.2
1669277927677,0.0,sg.partying.android.lite,244.201
1669277928677,0.0,sg.partying.android.lite,245.201
1669277929678,0.0,sg.partying.android.lite,246.202
1669277930683,2.0,sg.partying.android.lite,247.207
1669277931679,0.0,sg.partying.android.lite,248.203
1669277932681,0.0,sg.partying.android.lite,249.205
1669277933685,4.0,sg.partying.android.lite,250.209
1669277934686,4.0,sg.partying.android.lite,251.21
1669277935686,0.0,sg.partying.android.lite,252.21
1669277936698,4.0,sg.partying.android.lite,253.222
1669277937689,1.0,sg.partying.android.lite,254.213
1669277938689,3.0,sg.partying.android.lite,255.213
1669277939693,0.0,sg.partying.android.lite,256.217
1669277940694,3.0,sg.partying.android.lite,257.218
1669277941693,3.0,sg.partying.android.lite,258.217
1669277942695,3.0,sg.partying.android.lite,259.219
1669277943694,1.0,sg.partying.android.lite,260.218
1669277944695,0.0,sg.partying.android.lite,261.219
1669277945696,0.0,sg.partying.android.lite,262.22
1669277946697,0.0,sg.partying.android.lite,263.221
1669277947697,1.0,sg.partying.android.lite,264.221
1669277948697,1.0,sg.partying.android.lite,265.221
