RecordTime,最长延迟时间(ms),extra,SimpleTime
1669277684441,8.0,sg.partying.android.lite,0.965
1669277685441,8.0,sg.partying.android.lite,1.965
1669277686442,14.0,sg.partying.android.lite,2.966
1669277687442,7.0,sg.partying.android.lite,3.966
1669277688442,8.0,sg.partying.android.lite,4.966
1669277689443,14.0,sg.partying.android.lite,5.967
1669277690443,13.0,sg.partying.android.lite,6.967
1669277691445,9.0,sg.partying.android.lite,7.969
1669277692449,12.0,sg.partying.android.lite,8.973
1669277693451,9.0,sg.partying.android.lite,9.975
1669277694446,10.0,sg.partying.android.lite,10.97
1669277695446,10.0,sg.partying.android.lite,11.97
1669277696447,10.0,sg.partying.android.lite,12.971
1669277697449,10.0,sg.partying.android.lite,13.973
1669277698449,10.0,sg.partying.android.lite,14.973
1669277699449,10.0,sg.partying.android.lite,15.973
1669277700453,9.0,sg.partying.android.lite,16.977
1669277701455,7.0,sg.partying.android.lite,17.979
1669277702454,31.0,sg.partying.android.lite,18.978
1669277703455,12.0,sg.partying.android.lite,19.979
1669277704455,15.0,sg.partying.android.lite,20.979
1669277705456,6.0,sg.partying.android.lite,21.98
1669277706458,9.0,sg.partying.android.lite,22.982
1669277707460,9.0,sg.partying.android.lite,23.984
1669277708459,15.0,sg.partying.android.lite,24.983
1669277709459,13.0,sg.partying.android.lite,25.983
1669277710460,8.0,sg.partying.android.lite,26.984
1669277711460,11.0,sg.partying.android.lite,27.984
1669277712462,13.0,sg.partying.android.lite,28.986
1669277713461,13.0,sg.partying.android.lite,29.985
1669277714461,13.0,sg.partying.android.lite,30.985
1669277715462,10.0,sg.partying.android.lite,31.986
1669277716463,7.0,sg.partying.android.lite,32.987
1669277717464,15.0,sg.partying.android.lite,33.988
1669277718464,10.0,sg.partying.android.lite,34.988
1669277719473,10.0,sg.partying.android.lite,35.997
1669277720472,11.0,sg.partying.android.lite,36.996
1669277721471,9.0,sg.partying.android.lite,37.995
1669277722471,9.0,sg.partying.android.lite,38.995
1669277723473,15.0,sg.partying.android.lite,39.997
1669277724474,15.0,sg.partying.android.lite,40.998
1669277725478,15.0,sg.partying.android.lite,42.002
1669277726477,14.0,sg.partying.android.lite,43.001
1669277727477,5.0,sg.partying.android.lite,44.001
1669277728477,12.0,sg.partying.android.lite,45.001
1669277729478,10.0,sg.partying.android.lite,46.002
1669277730478,11.0,sg.partying.android.lite,47.002
1669277731479,11.0,sg.partying.android.lite,48.003
1669277732479,8.0,sg.partying.android.lite,49.003
